	RSSUBMTHAIRY1	RSCONMTHAIRY3	RSSUBMTHAIRY3	RSCONMTHAIRY4	RSSUBMTHAIRY4	INRNACONMTHAIRY1	INRNACONMTHAIRY2	INRNACONMTHAIRY3	INRNACONMTHAIRY4	INRNASUBMTHAIRY1	INRNASUBMTHAIRY2	INRNASUBMTHAIRY3	INRNASUBMTHAIRY4	TOTCONMTHAIRY1	TOTCONMTHAIRY2	TOTCONMTHAIRY3	TOTCONMTHAIRY4	TOTSUBMTHAIRY1	TOTSUBMTHAIRY2	TOTSUBMTHAIRY3	TOTSUBMTHAIRY4	TRACONMTHAIRY1	TRACONMTHAIRY3	TRACONMTHAIRY4	TRASUBMTHAIRY1	TRASUBMTHAIRY3	TRASUBMTHAIRY4
Medtr0493s0020	0	1	0	1	0	1	0	0	0	1	1	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0
Medtr0493s0030	40	131	220	263	28	15	14	7	7	5	13	9	11	397	340	575	718	222	268	93	431	469	13	407	57	4	358
Medtr0495s0010	0	3	0	6	0	0	0	0	0	0	0	0	0	7	0	0	44	23	0	0	0	0	0	0	0	0	0
Medtr0495s0020	1	3	6	3	0	0	18	17	7	12	17	4	31	0	0	36	0	0	5	2	0	0	0	0	0	0	0
Medtr0496s0010	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0496s0020	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0496s0030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0497s0040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Medtr0499s0020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	12	0	0	0
Medtr0499s0050	2	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0502s0010	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0503s0010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Medtr0504s0040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0504s0050	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0
Medtr0505s0020	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0506s0010	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0506s0040	1	9	11	24	2	1	1	3	0	0	3	0	1	38	154	90	20	91	118	0	43	442	0	49	0	46	19
Medtr0508s0010	9	54	37	121	6	15	39	23	16	20	15	33	15	897	1440	891	1769	710	740	1439	1736	34	395	1130	1346	6	497
Medtr0510s0010	0	0	0	0	0	0	1	0	0	1	0	4	0	0	3	0	6	0	6	3	0	0	0	0	0	0	0
Medtr0511s0010	0	0	2	0	1	36	14	40	19	73	33	67	18	165	24	0	109	87	473	24	147	71	0	10	625	35	117
Medtr0511s0020	4	20	33	41	11	74	51	52	45	172	62	123	54	110	204	42	267	216	310	314	151	139	1	66	1	25	92
Medtr0512s0010	0	17	20	25	2	5	4	0	5	3	4	17	6	397	730	386	818	313	386	662	746	9	0	74	0	0	81
Medtr0512s0030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0513s0030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0514s0010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0515s0010	1	14	9	39	1	0	0	0	0	0	0	0	0	38	44	4	97	54	16	170	34	0	0	14	0	0	12
Medtr0515s0020	1	0	3	2	1	11609	12743	15569	9430	13745	7653	16407	4763	17849	35904	25653	21108	14394	27240	40863	18849	17797	14533	18247	12493	1535	18583
Medtr0516s0010	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0519s0010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Medtr0520s0020	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0521s0010	2	0	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0522s0010	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0524s0030	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0525s0040	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Medtr0526s0020	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0528s0010	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0530s0020	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	10	0	0	0	0	0	0	0	0	0	12
Medtr0531s0010	12	40	29	61	9	2	2	1	1	0	1	4	2	38	0	41	216	75	32	2	171	22	0	128	301	26	132
Medtr0531s0020	0	0	3	3	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0534s0010	0	0	5	1	0	0	0	0	0	1	0	0	0	2	0	0	23	0	0	0	5	28	0	0	0	0	0
Medtr0534s0030	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0535s0060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0536s0010	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0536s0020	0	15	25	22	7	8	9	23	26	16	9	32	1	230	3	222	107	197	123	16	196	290	4	32	0	8	86
Medtr0536s0030	0	5	7	6	0	1	0	0	0	2	2	2	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0
Medtr0538s0010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0538s0030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0542s0010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0542s0020	1	13	13	25	6	6	1	1	10	2	1	10	0	143	0	537	217	133	64	351	408	233	466	44	0	0	252
Medtr0543s0010	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0543s0020	1	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0544s0010	0	0	0	0	0	0	1	2	1	4	0	6	4	0	0	0	0	0	0	1	7	0	0	0	0	0	0
Medtr0547s0010	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0549s0010	2	20	13	51	2	7	7	8	2	2	7	9	6	157	13	39	150	83	12	26	59	213	3	90	0	11	42
Medtr0549s0020	2	83	46	191	9	20	21	28	23	21	12	12	12	397	236	412	698	232	67	129	448	591	3	209	89	28	252
Medtr0549s0030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0550s0010	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0551s0020	0	0	2	0	0	20	19	19	18	31	11	26	6	78	80	77	68	125	36	156	27	0	0	0	0	0	31
Medtr0552s0010	0	3	1	0	0	4	0	9	0	13	7	9	4	9	0	0	9	13	0	0	0	0	73	73	0	0	0
Medtr0552s0020	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0552s0030	0	0	0	0	0	0	0	2	0	2	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0552s0040	2	2	4	3	2	11	2	6	0	8	5	9	3	75	3	20	91	54	0	1	70	7	1	0	0	0	33
Medtr0552s0050	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0
Medtr0553s0050	0	0	0	2	1	0	1	0	0	3	0	0	0	0	0	30	1	0	0	0	0	0	0	0	0	0	0
Medtr0554s0020	2	44	22	108	12	4	10	3	0	1	2	2	10	180	131	0	406	73	0	33	5	0	0	214	0	44	19
Medtr0555s0020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0556s0030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0557s0010	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0558s0010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0558s0020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0558s0030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0559s0010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0559s0020	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	18	0	0	0	0	0	0
Medtr0560s0010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	2	0	0	1	0	0	0
Medtr0562s0010	37	156	326	301	37	40	19	42	34	47	22	21	26	293	207	492	389	249	187	428	324	285	564	207	556	4	298
Medtr0562s0020	0	4	7	11	0	0	0	0	0	3	1	5	0	16	72	131	240	212	249	0	375	147	0	154	10	11	166
Medtr0562s0030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0563s0010	0	0	3	0	3	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0563s0020	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0565s0010	0	0	0	2	0	0	2	0	0	0	1	0	0	0	0	0	0	0	36	7	0	0	0	0	0	0	0
Medtr0566s0010	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0	75	0	1	0	0	0	0	0	0	0	0	0
Medtr0566s0020	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0566s0030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0568s0010	3	0	7	17	1	1	3	1	1	4	1	2	0	67	232	118	113	43	56	207	116	0	0	12	0	0	21
Medtr0568s0020	0	0	0	0	0	0	0	0	0	3	0	0	2	64	193	108	120	32	43	190	98	0	0	18	0	0	19
Medtr0570s0040	0	0	6	5	0	0	0	0	0	1	0	1	0	0	0	0	11	0	125	0	0	0	0	0	1	0	0
Medtr0571s0010	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0571s0020	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0571s0030	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0572s0010	1	1	14	6	0	7	2	1	12	8	4	9	2	102	7	0	135	0	12	0	33	93	0	37	0	0	0
Medtr0572s0020	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0573s0020	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	7	0	0	0
Medtr0573s0030	0	1	3	0	0	10	4	4	6	25	8	23	12	3	40	5	71	13	53	128	1	0	0	0	0	0	0
Medtr0576s0010	0	0	0	0	0	1	0	0	0	0	0	0	0	3	7	0	5	0	0	0	6	0	0	0	0	0	1
Medtr0578s0010	1	0	6	3	0	3	3	0	2	0	2	1	0	18	3	255	16	55	28	91	31	0	0	13	0	0	36
Medtr0578s0020	0	0	0	0	0	1	2	5	0	0	3	2	1	0	0	0	8	0	0	0	0	0	0	0	0	0	0
Medtr0582s0010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0583s0010	4	0	6	5	0	1	0	0	0	0	0	0	0	6	2	0	27	34	47	9	1	70	0	83	60	0	26
Medtr0586s0030	0	2	5	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0590s0010	5	37	52	89	10	21	20	26	35	45	36	102	33	340	116	842	788	110	275	342	765	389	42	528	499	0	292
Medtr0590s0020	0	0	1	0	1	8	1	3	0	8	1	4	9	2	405	0	43	37	137	0	143	0	0	0	140	0	44
Medtr0591s0010	0	9	5	11	2	1	0	0	1	0	0	0	5	20	337	8	51	2	159	38	11	0	0	1	0	0	1
Medtr0595s0010	0	0	1	0	0	1	1	2	3	1	1	3	0	29	0	43	2	0	0	0	0	0	0	0	0	0	0
Medtr0595s0020	2	0	2	0	2	142	163	224	116	215	83	206	39	0	0	0	2	2	9	0	15	0	0	0	0	0	0
Medtr0595s0030	0	1	0	0	0	228	279	443	229	337	141	385	88	1	4	0	0	0	0	5	1	0	0	0	1	0	5
Medtr0597s0030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0598s0020	0	0	0	1	0	2	0	0	0	2	0	1	0	54	0	0	19	34	96	0	0	0	0	0	0	0	0
Medtr0599s0010	0	2	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0599s0020	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0600s0020	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Medtr0602s0010	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0602s0020	14	1	64	2	13	4	1	1	0	24	20	17	9	0	0	0	0	17	0	1	67	0	47	0	0	1	24
Medtr0603s0010	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25
Medtr0604s0020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0606s0020	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Medtr0607s0040	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0608s0010	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0608s0020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0608s0030	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0611s0030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0616s0010	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0616s0020	1	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0616s0030	7	1	3	6	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0616s0050	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0618s0020	2	7	0	9	0	2	0	1	1	2	1	1	5	103	1	57	72	7	43	0	6	62	0	0	57	0	35
Medtr0619s0010	82	45	231	144	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0620s0010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0623s0010	1	0	7	9	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	14	2	14	0	0	0	0	0
Medtr0623s0020	0	2	0	1	1	0	5	3	0	0	0	1	0	3	3	0	0	0	0	0	0	0	0	0	0	0	9
Medtr0624s0020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0625s0020	0	0	0	0	0	1	5	3	4	3	1	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0627s0010	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Medtr0629s0020	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0631s0010	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0632s0010	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0632s0020	0	3	3	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0632s0030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Medtr0633s0010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0635s0010	0	0	1	1	0	0	0	0	0	0	0	0	0	3	6	1	9	0	0	0	36	0	0	0	3	0	7
Medtr0637s0010	0	0	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0638s0010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0638s0020	2	3	1	2	1	0	0	0	0	0	0	1	0	0	0	0	0	1	23	0	0	0	0	0	0	0	0
Medtr0640s0020	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0643s0010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0644s0020	5	3	4	7	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0644s0030	5	3	13	7	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0645s0010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0645s0020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0648s0010	1	5	0	3	2	1	0	0	0	0	0	0	0	31	2	36	49	10	21	0	48	7	0	29	6	7	2
Medtr0648s0020	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0649s0020	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0650s0010	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0651s0010	0	2	2	1	0	0	0	0	1	0	0	1	0	0	0	0	8	0	4	0	12	0	0	0	0	0	0
Medtr0652s0010	2	1	3	3	1	0	3	0	0	0	4	4	0	13	9	43	51	0	0	0	20	0	192	0	0	0	4
Medtr0652s0020	0	0	1	1	1	2	0	5	1	1	1	2	0	0	50	0	7	0	0	0	7	0	0	0	0	0	0
Medtr0653s0010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0653s0020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
Medtr0653s0030	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0653s0040	0	1	0	4	0	0	0	0	0	0	0	0	0	0	33	1	14	0	0	1	50	0	0	1	0	0	19
Medtr0654s0010	1	1	5	1	0	3	0	1	0	1	0	1	0	0	8	0	43	0	19	0	0	0	1	0	0	0	0
Medtr0655s0010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0655s0020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0656s0010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0658s0020	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
Medtr0658s0030	1	20	15	32	0	3	4	1	0	4	1	6	1	61	15	5	108	63	0	0	80	0	0	38	0	1	69
Medtr0662s0010	15	165	181	304	29	10	23	9	20	17	22	18	21	901	998	1187	1250	780	736	899	600	751	109	501	180	14	699
Medtr0662s0020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0662s0030	6	21	22	33	1	1	4	4	4	1	1	1	9	44	87	0	125	21	149	233	155	309	244	0	0	0	95
Medtr0663s0010	10	8	11	23	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0663s0030	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0663s0040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0663s0060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0665s0030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0666s0020	6	6	11	6	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0667s0010	0	1	1	3	0	10	3	3	8	20	6	8	11	0	0	85	213	0	0	2	124	0	0	0	0	33	4
Medtr0667s0020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0669s0020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0672s0010	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0674s0020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0675s0010	3	1	5	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0677s0030	2	0	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0681s0010	4	4	14	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0681s0020	110	24	135	77	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0683s0010	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0684s0010	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0684s0020	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0685s0020	0	6	9	10	1	1	0	0	0	1	2	0	0	42	26	117	79	34	82	93	61	27	0	35	0	0	43
Medtr0685s0030	3	8	12	17	2	2	0	1	3	5	0	2	0	40	114	0	96	3	55	0	68	0	0	49	50	0	17
Medtr0686s0010	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0687s0010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0689s0010	3	3	14	6	15	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0689s0020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0690s0010	1	3	8	13	0	1	2	8	2	2	0	2	0	40	0	1	117	0	0	0	58	0	1	90	0	0	11
Medtr0690s0030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0691s0020	2	2	33	20	8	27	9	10	6	41	11	51	13	222	44	0	86	3	16	30	257	36	0	75	2	0	64
Medtr0693s0030	1	3	3	5	0	0	1	0	0	0	0	0	0	105	0	0	2	0	20	0	15	0	0	159	0	34	10
Medtr0693s0050	1	0	0	1	0	1	3	1	0	2	2	4	5	28	0	134	8	16	15	20	0	0	0	0	0	0	0
Medtr0695s0010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0695s0030	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0697s0010	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0699s0010	1	6	11	14	2	0	0	2	0	0	0	0	2	14	26	85	40	9	30	85	26	2	0	2	0	6	8
Medtr0699s0020	18	97	53	207	21	18	29	19	16	24	17	48	19	1768	3002	3281	3891	1961	2506	3936	2681	682	154	872	936	66	1050
Medtr0700s0010	1	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0701s0010	1	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0702s0010	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0702s0020	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0702s0030	0	0	2	0	0	4	3	3	4	13	7	9	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0703s0020	0	0	0	6	0	262	355	319	295	608	293	668	227	993	1470	1227	1112	964	593	2154	1426	432	0	150	409	29	118
Medtr0707s0020	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0709s0010	0	0	0	0	0	3	0	0	0	3	1	4	2	30	0	57	25	3	106	22	42	0	0	5	0	0	27
Medtr0709s0020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medtr0710s0010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
